aX,aY,aZ
0.412,-0.536,0.647
0.431,-0.582,0.668
0.434,-0.603,0.692
0.443,-0.647,0.701
0.453,-0.706,0.737
0.467,-0.733,0.753
0.471,-0.784,0.765
0.47,-0.808,0.772
0.458,-0.854,0.77
0.454,-0.896,0.77
0.446,-0.918,0.77
0.433,-0.957,0.752
0.409,-0.997,0.738
0.388,-1.041,0.713
0.369,-1.125,0.71
0.343,-1.175,0.724
0.325,-1.225,0.76
0.291,-1.297,0.789
0.279,-1.329,0.814
0.242,-1.363,0.828
0.22,-1.367,0.835
0.183,-1.39,0.837
0.162,-1.387,0.82
0.114,-1.388,0.809
0.096,-1.372,0.776
0.072,-1.386,0.77
0.068,-1.432,0.798
0.079,-1.436,0.813
0.087,-1.437,0.805
0.09,-1.441,0.769
0.094,-1.45,0.724
0.11,-1.442,0.671
0.123,-1.435,0.596
0.145,-1.421,0.544
0.172,-1.406,0.521
0.184,-1.394,0.475
0.21,-1.381,0.453
0.225,-1.353,0.421
0.247,-1.331,0.399
0.262,-1.291,0.39
0.271,-1.272,0.376
0.288,-1.233,0.37
0.298,-1.212,0.37
0.315,-1.16,0.376
0.319,-1.006,0.388
0.311,-1.083,0.392
0.307,-1.046,0.405
0.311,-1.026,0.414
0.314,-0.984,0.429
0.321,-0.961,0.445
0.333,-0.926,0.451
0.336,-0.891,0.461
0.337,-0.878,0.464
0.34,-0.856,0.473
0.347,-0.848,0.492
0.354,-0.828,0.506
0.35,-0.812,0.504
0.343,-0.796,0.505
0.342,-0.79,0.471
0.346,-0.763,0.492
0.345,-0.721,0.549
0.323,-0.712,0.53
0.317,-0.704,0.504
0.312,-0.691,0.497
0.309,-0.675,0.501
0.29,-0.643,0.493
0.288,-0.592,0.535
0.282,-0.569,0.558
0.259,-0.535,0.631
0.213,-0.5,0.473
0.228,-0.489,0.469
0.266,-0.444,0.642
0.307,-0.408,0.71
0.312,-0.346,0.761
0.317,-0.323,0.775
0.322,-0.278,0.804
0.328,-0.261,0.86
0.344,-0.225,0.893
0.342,-0.179,0.936
0.337,-0.152,0.949
0.33,-0.106,0.966
0.326,-0.086,0.976
0.324,-0.038,1.002
0.317,-0.01,1.023
0.309,0.041,1.033
0.3,0.066,1.057
0.274,0.121,1.065
0.251,0.182,1.063
0.197,0.208,1.061
0.159,0.275,1.054
0.064,0.314,1.036
0.015,0.403,0.988
-0.085,0.443,0.962
-0.139,0.513,0.904
-0.25,0.545,0.872
-0.301,0.61,0.812
-0.388,0.645,0.76
-0.456,0.723,0.736
-0.488,0.774,0.681
-0.545,0.895,0.648
-0.56,1.077,0.591
-0.568,1.082,0.56
-0.566,1.244,0.51
-0.546,1.332,0.494
-0.529,1.53,0.49
-0.488,1.63,0.499
-0.457,1.813,0.523
-0.381,1.893,0.551
-0.285,2.039,0.565
-0.235,2.199,0.592
-0.146,2.286,0.603
-0.068,2.465,0.616
-0.026,2.548,0.607
0.077,2.678,0.603
0.14,2.725,0.601
0.277,2.79,0.606
0.344,2.805,0.621
0.475,2.815,0.632
0.529,2.82,0.657
0.625,2.82,0.672
0.667,2.814,0.707
0.752,2.763,0.725
0.785,2.729,0.767
0.827,2.642,0.784
0.836,2.587,0.798
0.819,2.462,0.799
0.793,2.399,0.792
0.722,2.263,0.785
0.682,2.068,0.787
0.598,2.018,0.789
0.503,1.851,0.797
0.399,1.695,0.803
0.346,1.63,0.82
0.248,1.529,0.826
0.21,1.492,0.839
0.149,1.43,0.843
0.125,1.405,0.847
0.08,1.361,0.846
0.063,1.324,0.862
0.036,1.296,0.847
0.035,1.223,0.825
0.036,1.196,0.832
0.031,1.136,0.804
0.019,1.112,0.794
0.02,1.098,0.793
0.031,1.079,0.781
0.032,1.005,0.762
0.033,0.973,0.762
0.03,0.929,0.758
0.029,0.907,0.755
0.03,0.87,0.755
0.033,0.849,0.76
0.032,0.81,0.771
0.033,0.791,0.779
0.033,0.753,0.797
0.035,0.74,0.804
0.036,0.706,0.81
0.039,0.688,0.815
0.041,0.644,0.816
0.053,0.625,0.826
0.06,0.591,0.831
0.079,0.571,0.843
0.11,0.539,0.856
0.129,0.531,0.873
0.167,0.507,0.879
0.186,0.492,0.886
0.215,0.458,0.901
0.227,0.42,0.895
0.248,0.398,0.894
0.258,0.4,0.91
0.278,0.401,0.909
0.283,0.389,0.902
0.294,0.378,0.901
0.295,0.357,0.904
0.311,0.346,0.907
0.322,0.311,0.909
0.34,0.3,0.916
0.356,0.278,0.913
0.359,0.27,0.9
0.358,0.267,0.889
0.358,0.262,0.874
0.362,0.24,0.865
0.367,0.222,0.86
0.376,0.182,0.864
0.381,0.163,0.862
0.391,0.127,0.856
0.392,0.112,0.845
0.403,0.077,0.84
0.409,0.061,0.83
0.414,0.044,0.819
0.412,0.041,0.789
0.401,0.041,0.771
0.402,0.04,0.731
0.414,0.017,0.713
0.419,-0.124,0.692
0.425,-0.03,0.68
0.416,-0.045,0.633
0.397,-0.048,0.607
0.395,-0.071,0.568
0.402,-0.09,0.552
0.412,-0.13,0.544
0.404,-0.153,0.513
0.377,-0.203,0.493
0.366,-0.236,0.471
0.36,-0.292,0.473
0.365,-0.314,0.485
0.387,-0.366,0.494
0.401,-0.426,0.508
0.427,-0.453,0.506
0.427,-0.494,0.491
0.409,-0.508,0.441
0.394,-0.567,0.403
0.391,-0.601,0.354
0.385,-0.662,0.338
0.385,-0.707,0.307
0.375,-0.806,0.306
0.365,-0.919,0.308
0.354,-0.994,0.299
0.346,-1.197,0.275
0.298,-1.311,0.264
0.284,-1.368,0.339
0.268,-1.402,0.338
0.234,-1.683,0.36
0.216,-1.77,0.467
0.157,-1.853,0.531
0.113,-1.927,0.649
-0.012,-1.974,0.691
-0.085,-1.976,0.739
-0.218,-1.962,0.761
-0.329,-1.928,0.765
-0.368,-1.893,0.756
-0.403,-1.876,0.743
-0.402,-1.836,0.683
-0.372,-1.812,0.586
-0.321,-1.765,0.525
-0.284,-1.742,0.383
-0.185,-1.702,0.308
-0.124,-1.655,0.152
-0.006,-1.631,0.074
0.057,-1.581,-0.063
0.179,-1.554,-0.126
0.297,-1.504,-0.237
0.356,-1.478,-0.322
0.467,-1.436,-0.352
0.523,-1.4,-0.396
0.63,-1.385,-0.406
0.726,-1.366,-0.413
0.771,-1.364,-0.408
0.86,-1.355,-0.404
0.936,-1.338,-0.381
0.999,-1.329,-0.377
1.024,-1.322,-0.37
1.061,-1.317,-0.363
1.083,-1.3,-0.345
1.089,-1.259,-0.349
1.106,-1.276,-0.325
1.113,-1.284,-0.267
1.111,-1.25,-0.252
1.103,-1.193,-0.235
1.082,-1.167,-0.197
1.043,-1.113,-0.173
1.019,-1.095,-0.131
0.99,-1.059,-0.104
0.979,-0.988,-0.076
0.927,-0.971,-0.068
0.864,-0.901,0.028
0.859,-0.942,-0.019
0.878,-0.914,0.066
0.857,-0.855,0.15
0.793,-0.811,0.159
0.771,-0.836,0.17
0.735,-0.834,0.196
0.728,-0.82,0.271
0.695,-0.793,0.308
0.668,-0.753,0.372
0.632,-0.74,0.392
0.601,-0.637,0.455
0.525,-0.598,0.491
0.478,-0.573,0.502
0.46,-0.549,0.575
0.407,-0.475,0.6
0.369,-0.409,0.587
0.335,-0.403,0.596
0.32,-0.346,0.632
0.272,-0.295,0.647
0.222,-0.219,0.658
0.197,-0.183,0.694
0.142,-0.088,0.716
0.11,0.098,0.751
0.04,0.108,0.765
0.003,0.174,0.791
-0.079,0.298,0.796
-0.125,0.473,0.786
-0.222,0.446,0.775
-0.272,0.553,0.754
-0.39,0.607,0.742
-0.458,0.722,0.69
-0.608,0.78,0.588
-0.786,0.948,0.539
-0.847,1.161,0.52
-0.969,1.234,0.474
-1.027,1.467,0.35
-1.118,1.594,0.301
-1.146,1.882,0.251
-1.154,2.024,0.243
-1.006,2.277,0.251
-1.012,2.37,0.308
-0.799,2.492,0.359
-0.676,2.536,0.468
-0.425,2.625,0.515
-0.304,2.683,0.575
-0.069,2.788,0.583
0.039,2.857,0.552
0.236,2.877,0.523
0.324,2.905,0.471
0.472,2.91,0.445
0.545,2.885,0.396
0.676,2.848,0.377
0.859,2.746,0.364
0.842,2.67,0.488
0.945,2.627,0.42
0.98,2.586,0.467
1.012,2.486,0.486
1.012,2.437,0.524
0.881,2.34,0.548
0.972,2.291,0.568
0.901,2.137,0.592
0.871,2.131,0.642
0.843,2.1,0.648
0.746,2.035,0.672
0.696,1.914,0.682
0.61,1.858,0.692
0.534,1.776,0.692
0.495,1.744,0.681
0.418,1.677,0.668
0.384,1.645,0.648
0.323,1.591,0.639
0.299,1.568,0.617
0.256,1.522,0.606
0.238,1.498,0.581
0.217,1.452,0.571
0.208,1.407,0.556
0.192,1.381,0.543
0.185,1.349,0.512
0.177,1.285,0.505
0.173,1.133,0.505
0.161,1.214,0.5
0.154,1.195,0.5
0.142,1.154,0.496
