aX,aY,aZ
-0.174,-0.021,-0.766
-0.144,-0.048,-0.795
-0.131,-0.083,-0.854
-0.13,-0.102,-0.915
-0.119,-0.137,-0.948
-0.118,-0.207,-1.009
-0.109,-0.239,-1.033
-0.109,-0.317,-1.101
-0.098,-0.351,-1.171
-0.089,-0.409,-1.189
-0.086,-0.431,-1.229
-0.086,-0.436,-1.265
-0.082,-0.442,-1.345
-0.061,-0.438,-1.435
-0.034,-0.443,-1.467
-0.016,-0.432,-1.521
0.009,-0.415,-1.558
0.042,-0.399,-1.673
0.055,-0.395,-1.713
0.097,-0.358,-1.675
0.007,-0.251,-1.849
0.05,-0.278,-1.881
0.097,-0.268,-1.925
0.128,-0.227,-2.062
0.192,-0.274,-1.846
0.211,-0.265,-1.825
0.18,-0.235,-1.8
0.095,-0.196,-1.781
0.071,-0.124,-1.763
0.071,-0.085,-1.702
0.073,-0.079,-1.656
0.052,-0.061,-1.572
0.037,-0.051,-1.487
0.023,-0.047,-1.439
0.021,-0.067,-1.345
0.007,-0.073,-1.297
-0.012,-0.069,-1.209
-0.058,-0.064,-1.175
-0.212,-0.567,-1.238
-0.196,-1.175,-1.028
-0.036,0.318,-0.699
-0.237,0.034,-0.839
-0.419,-0.026,-0.982
-0.295,-0.088,-1.015
-0.23,-0.186,-0.994
-0.244,-0.332,-1.037
-0.276,-0.236,-0.94
-0.287,-0.23,-0.873
-0.274,-0.322,-0.9
-0.249,-0.33,-0.92
-0.247,-0.381,-0.988
-0.244,-0.411,-1.037
-0.244,-0.446,-1.063
-0.241,-0.447,-1.12
-0.24,-0.436,-1.149
-0.223,-0.42,-1.179
-0.213,-0.417,-1.218
-0.184,-0.418,-1.226
-0.178,-0.416,-1.259
-0.159,-0.414,-1.3
-0.139,-0.406,-1.321
-0.131,-0.395,-1.345
-0.12,-0.393,-1.365
-0.113,-0.4,-1.374
-0.109,-0.391,-1.372
-0.105,-0.385,-1.376
-0.106,-0.381,-1.381
-0.096,-0.384,-1.384
-0.082,-0.423,-1.386
-0.059,-0.458,-1.376
-0.021,-0.311,-1.318
-0.035,-0.415,-1.427
-0.055,-0.492,-1.469
-0.06,-0.494,-1.479
-0.044,-0.474,-1.47
-0.069,-0.435,-1.486
